variable_name,description,data_type,min,max,units,enumerations,comment
VirtualBiorepository_id,Autocreated FK slot,integer,,,,,Foreign Key: VirtualBiorepository.id
external_id,"Other identifiers for this entity, eg, from the submitting study or in systems like dbGaP",string,,,,,
