variable_name,description,data_type,min,max,units,enumerations,comment
ActivityDefinition_activity_definition_id,Autocreated FK slot,string,,,,,Foreign Key: ActivityDefinition.activity_definition_id
external_id,"Other identifiers for this entity, eg, from the submitting study or in systems like dbGaP",string,,,,,
