variable_name,description,data_type,min,max,units,enumerations,comment
VirtualBiorepository_id,Autocreated FK slot,integer,,,,,Foreign Key: VirtualBiorepository.id
contact_id,The individual to contact with questions about this record.,integer,,,,,Foreign Key: Investigator.id
