variable_name,description,data_type,min,max,units,enumerations,comment
Family_family_id,Autocreated FK slot,string,,,,,Foreign Key: Family.family_id
external_id,"Other identifiers for this entity, eg, from the submitting study or in systems like dbGaP",string,,,,,
