variable_name,description,data_type,min,max,units,enumerations,comment
Study_study_id,Autocreated FK slot,string,,,,,Foreign Key: Study.study_id
external_id,"Other identifiers for this entity, eg, from the submitting study or in systems like dbGaP",string,,,,,
