variable_name,description,data_type,min,max,units,enumerations,comment
FamilyRelationship_family_relationship_id,Autocreated FK slot,string,,,,,Foreign Key: FamilyRelationship.family_relationship_id
external_id,"Other identifiers for this entity, eg, from the submitting study or in systems like dbGaP",string,,,,,
