variable_name,description,data_type,min,max,units,enumerations,comment
DOI_doi,Autocreated FK slot,string,,,,,Foreign Key: DOI.doi
external_id,"Other identifiers for this entity, eg, from the submitting study or in systems like dbGaP",string,,,,,
