variable_name,description,data_type,min,max,units,enumerations,comment
EncounterDefinition_encounter_definition_id,Autocreated FK slot,string,,,,,Foreign Key: EncounterDefinition.encounter_definition_id
activity_definition_id_activity_definition_id,Unique identifier for this Activity Definition.,string,,,,,Foreign Key: ActivityDefinition.activity_definition_id
