variable_name,description,data_type,min,max,units,enumerations,comment
Demographics_subject_id,Autocreated FK slot,string,,,,,Foreign Key: Demographics.subject_id
race,Race of Participant,enumeration,,,,american_indian_or_alaska_native=American Indian or Alaska Native;asian=Asian;black_or_african_american=Black or African American;more_than_one_race=More than one race;native_hawaiian_or_other_pacific_islander=Native Hawaiian or Other Pacific Islander;other=Other;white=White;prefer_not_to_answer=Prefer not to answer;unknown=Unknown;east_asian=UK only; do not use for US data;latin_american=UK only; do not use for US data;middle_eastern_or_north_african=UK only; do not use for US data;south_asian=UK only; do not use for US data,
