variable_name,description,data_type,min,max,units,enumerations,comment
Study_study_id,Autocreated FK slot,string,,,,,Foreign Key: Study.study_id
program,Funding source(s) for the study,enumeration,,,,include=INCLUDE;kf=KF;other=Other,
