variable_name,description,data_type,min,max,units,enumerations,comment
VirtualBiorepository_vbr_id,Autocreated FK slot,string,,,,,Foreign Key: VirtualBiorepository.vbr_id
contact_id,The individual to contact with questions about this record.,integer,,,,,Foreign Key: Investigator.id
