variable_name,description,data_type,min,max,units,enumerations,comment
Aliquot_aliquot_id,Autocreated FK slot,string,,,,,Foreign Key: Aliquot.aliquot_id
external_id,"Other identifiers for this entity, eg, from the submitting study or in systems link dbGaP",string,,,,,
