variable_name,description,data_type,min,max,units,enumerations,comment
ResearchStudyCollection_research_study_collection_id,Autocreated FK slot,string,,,,,Foreign Key: ResearchStudyCollection.research_study_collection_id
external_id,"Other identifiers for this entity, eg, from the submitting study or in systems link dbGaP",string,,,,,
