variable_name,description,data_type,min,max,units,enumerations,comment
Participant_participant_id,Autocreated FK slot,string,,,,,Foreign Key: Participant.participant_id
sample_id_sample_id,Samples associated with this participant,string,,,,,Foreign Key: Sample.sample_id
