variable_name,description,data_type,min,max,units,enumerations,comment
HasExternalId_id,Autocreated FK slot,integer,,,,,Foreign Key: HasExternalId.id
external_id,"Other identifiers for this entity, eg, from the submitting study or in systems link dbGaP",string,,,,,
