variable_name,description,data_type,min,max,units,enumerations,comment
ResearchStudyCollection_research_study_collection_id,Autocreated FK slot,string,,,,,Foreign Key: ResearchStudyCollection.research_study_collection_id
label,Alias such as acronym and alternate names.,string,,,,,
