variable_name,description,data_type,min,max,units,enumerations,comment
Participant_participant_id,Autocreated FK slot,string,,,,,Foreign Key: Participant.participant_id
race,Reported race as defined by the 1997 OMB directives.,enumeration,,,,american_indian_or_alaskan_native=American Indian or Alaskan Native;asian=Asian;black_or_african_american=Black or African American;native_hawaiian_or_pacific_islander=Native Hawaiian or Other Pacific Islander;white=White;other_race=Other Race;unknown=unknown;asked_but_unknown=asked but unknown,
