variable_name,description,data_type,min,max,units,enumerations,comment
AssociatedParty_id,Autocreated FK slot,string,,,,,Foreign Key: AssociatedParty.id
classifier,Research Study Party Organization Type (what type of institution is party),enumeration,,,,nih=NIH;fda=FDA;academic=Academic;government=Government;nonprofit=Nonprofit;industry=Industry,
