variable_name,description,data_type,min,max,units,enumerations,comment
name,Name of the entity.,string,,,,,
role,Research Study Party Role,enumeration,,,,sponsor=sponsor;lead_sponsor=lead-sponsor;sponsor_investigator;primary_investigator;collaborator;funding_source;general_contact;recruitment_contact;sub_investigator;study_director;study_chair;irb=Institutional Review Board,
associated_party_practitioner_id,Associated Party (is Practitioner).,string,,,,,Foreign Key: Practitioner.practitioner_id
associated_party_practitioner_role_id,Associated Party (is Practitioner Role),string,,,,,Foreign Key: PractitionerRole.practitioner_role_id
associated_party_institution_id,Associated Party (is Institution),string,,,,,Foreign Key: Institution.institution_id
id,Unique Identifier for a table entry. This is probably not the Global ID,string,,,,,
