variable_name,description,data_type,min,max,units,enumerations,comment
Practitioner_practitioner_id,Autocreated FK slot,string,,,,,Foreign Key: Practitioner.practitioner_id
external_id,"Other identifiers for this entity, eg, from the submitting study or in systems link dbGaP",string,,,,,
